name,onset,offset,duration
fixation.ivt,640,820,180
fixation.ivt,940,1180,240
fixation.ivt,1280,1380,100
fixation.ivt,1480,1600,120
fixation.ivt,1700,1880,180
fixation.ivt,1980,2080,100
fixation.ivt,2160,2280,120
fixation.ivt,2380,2760,380
fixation.ivt,2820,2980,160
fixation.ivt,3220,3500,280
fixation.ivt,3560,3680,120
fixation.ivt,3780,4320,540
fixation.ivt,4460,4560,100
fixation.ivt,4600,4860,260
fixation.ivt,4960,5260,300
fixation.ivt,5340,5440,100
fixation.ivt,5540,5700,160
fixation.ivt,5800,6100,300
fixation.ivt,6180,6280,100
fixation.ivt,6380,6520,140
fixation.ivt,6580,6700,120
fixation.ivt,6800,7460,660
fixation.ivt,7520,7660,140
fixation.ivt,7960,8100,140
fixation.ivt,8180,8320,140
fixation.ivt,8420,8800,380
fixation.ivt,8860,9280,420
fixation.ivt,9380,9780,400
fixation.ivt,9880,10080,200
fixation.ivt,10140,11340,1200
fixation.ivt,11600,11800,200
fixation.ivt,11880,12020,140
fixation.ivt,12080,12840,760
fixation.ivt,13120,13260,140
fixation.ivt,13340,13600,260
fixation.ivt,13680,14360,680
fixation.ivt,14400,15300,900
fixation.ivt,15340,15560,220
fixation.ivt,15640,15760,120
fixation.ivt,17500,17640,140
fixation.ivt,18080,18420,340
fixation.ivt,18780,18940,160
fixation.ivt,19040,19920,880
fixation.ivt,20040,20420,380
fixation.ivt,20560,21040,480
fixation.ivt,21140,22040,900
fixation.ivt,22140,22260,120
fixation.ivt,22840,22960,120
fixation.ivt,23040,23360,320
fixation.ivt,23500,24000,500
fixation.ivt,24100,24680,580
fixation.ivt,24760,24900,140
fixation.ivt,25000,28020,3020
fixation.ivt,28880,29080,200
fixation.ivt,29580,33060,3480
fixation.ivt,33540,34420,880
fixation.ivt,34520,34740,220
fixation.ivt,34840,36800,1960
fixation.ivt,37440,38880,1440
fixation.ivt,38980,39260,280
fixation.ivt,39360,39940,580
fixation.ivt,40,520,480
fixation.ivt,640,820,180
fixation.ivt,940,1180,240
fixation.ivt,1280,1380,100
fixation.ivt,1480,1600,120
fixation.ivt,1700,1880,180
fixation.ivt,1980,2080,100
fixation.ivt,2160,2280,120
fixation.ivt,2380,2760,380
fixation.ivt,2820,2980,160
fixation.ivt,3220,3500,280
fixation.ivt,3560,3680,120
fixation.ivt,3780,4320,540
fixation.ivt,4460,4560,100
fixation.ivt,4600,4860,260
fixation.ivt,4960,5260,300
fixation.ivt,5340,5440,100
fixation.ivt,5540,5700,160
fixation.ivt,5800,6100,300
fixation.ivt,6180,6280,100
fixation.ivt,6380,6520,140
fixation.ivt,6580,6700,120
fixation.ivt,6800,7460,660
fixation.ivt,7520,7660,140
fixation.ivt,7960,8100,140
fixation.ivt,8180,8320,140
fixation.ivt,8420,8800,380
fixation.ivt,8860,9280,420
fixation.ivt,9380,9780,400
fixation.ivt,9880,10080,200
fixation.ivt,10140,11340,1200
fixation.ivt,11600,11800,200
fixation.ivt,11880,12020,140
fixation.ivt,12080,12840,760
fixation.ivt,13120,13260,140
fixation.ivt,13340,13600,260
fixation.ivt,13680,14360,680
fixation.ivt,14400,15300,900
fixation.ivt,15340,15560,220
fixation.ivt,15640,15760,120
fixation.ivt,17500,17640,140
fixation.ivt,18080,18420,340
fixation.ivt,18780,18940,160
fixation.ivt,19040,19920,880
fixation.ivt,20040,20420,380
fixation.ivt,20560,21040,480
fixation.ivt,21140,22040,900
fixation.ivt,22140,22260,120
fixation.ivt,22840,22960,120
fixation.ivt,23040,23360,320
fixation.ivt,23500,24000,500
fixation.ivt,24100,24680,580
fixation.ivt,24760,24900,140
fixation.ivt,25000,28020,3020
fixation.ivt,28880,29080,200
fixation.ivt,29580,33060,3480
fixation.ivt,33540,34420,880
fixation.ivt,34520,34740,220
fixation.ivt,34840,36800,1960
fixation.ivt,37440,38880,1440
fixation.ivt,38980,39260,280
fixation.ivt,39360,39940,580
fixation.ivt,40,520,480
fixation.ivt,640,820,180
fixation.ivt,940,1180,240
fixation.ivt,1280,1380,100
fixation.ivt,1480,1600,120
fixation.ivt,1700,1880,180
fixation.ivt,1980,2080,100
fixation.ivt,2160,2280,120
fixation.ivt,2380,2760,380
fixation.ivt,2820,2980,160
fixation.ivt,3220,3500,280
fixation.ivt,3560,3680,120
fixation.ivt,3780,4320,540
fixation.ivt,4460,4560,100
fixation.ivt,4600,4860,260
fixation.ivt,4960,5260,300
fixation.ivt,5340,5440,100
fixation.ivt,5540,5700,160
fixation.ivt,5800,6100,300
fixation.ivt,6180,6280,100
fixation.ivt,6380,6520,140
fixation.ivt,6580,6700,120
fixation.ivt,6800,7460,660
fixation.ivt,7520,7660,140
fixation.ivt,7960,8100,140
fixation.ivt,8180,8320,140
fixation.ivt,8420,8800,380
fixation.ivt,8860,9280,420
fixation.ivt,9380,9780,400
fixation.ivt,9880,10080,200
fixation.ivt,10140,11340,1200
fixation.ivt,11600,11800,200
fixation.ivt,11880,12020,140
fixation.ivt,12080,12840,760
fixation.ivt,13120,13260,140
fixation.ivt,13340,13600,260
fixation.ivt,13680,14360,680
fixation.ivt,14400,15300,900
fixation.ivt,15340,15560,220
fixation.ivt,15640,15760,120
fixation.ivt,17500,17640,140
fixation.ivt,18080,18420,340
fixation.ivt,18780,18940,160
fixation.ivt,19040,19920,880
fixation.ivt,20040,20420,380
fixation.ivt,20560,21040,480
fixation.ivt,21140,22040,900
fixation.ivt,22140,22260,120
fixation.ivt,22840,22960,120
fixation.ivt,23040,23360,320
fixation.ivt,23500,24000,500
fixation.ivt,24100,24680,580
fixation.ivt,24760,24900,140
fixation.ivt,25000,28020,3020
fixation.ivt,28880,29080,200
fixation.ivt,29580,33060,3480
fixation.ivt,33540,34420,880
fixation.ivt,34520,34740,220
fixation.ivt,34840,36800,1960
fixation.ivt,37440,38880,1440
fixation.ivt,38980,39260,280
fixation.ivt,39360,39940,580
fixation.ivt,40,520,480
fixation.ivt,640,820,180
fixation.ivt,940,1180,240
fixation.ivt,1280,1380,100
fixation.ivt,1480,1600,120
fixation.ivt,1700,1880,180
fixation.ivt,1980,2080,100
fixation.ivt,2160,2280,120
fixation.ivt,2380,2760,380
fixation.ivt,2820,2980,160
fixation.ivt,3220,3500,280
fixation.ivt,3560,3680,120
fixation.ivt,3780,4320,540
fixation.ivt,4460,4560,100
fixation.ivt,4600,4860,260
fixation.ivt,4960,5260,300
fixation.ivt,5340,5440,100
fixation.ivt,5540,5700,160
fixation.ivt,5800,6100,300
fixation.ivt,6180,6280,100
fixation.ivt,6380,6520,140
fixation.ivt,6580,6700,120
fixation.ivt,6800,7460,660
fixation.ivt,7520,7660,140
fixation.ivt,7960,8100,140
fixation.ivt,8180,8320,140
fixation.ivt,8420,8800,380
fixation.ivt,8860,9280,420
fixation.ivt,9380,9780,400
fixation.ivt,9880,10080,200
fixation.ivt,10140,11340,1200
fixation.ivt,11600,11800,200
fixation.ivt,11880,12020,140
fixation.ivt,12080,12840,760
fixation.ivt,13120,13260,140
fixation.ivt,13340,13600,260
fixation.ivt,13680,14360,680
fixation.ivt,14400,15300,900
fixation.ivt,15340,15560,220
fixation.ivt,15640,15760,120
fixation.ivt,17500,17640,140
fixation.ivt,18080,18420,340
fixation.ivt,18780,18940,160
fixation.ivt,19040,19920,880
fixation.ivt,20040,20420,380
fixation.ivt,20560,21040,480
fixation.ivt,21140,22040,900
fixation.ivt,22140,22260,120
fixation.ivt,22840,22960,120
fixation.ivt,23040,23360,320
fixation.ivt,23500,24000,500
fixation.ivt,24100,24680,580
fixation.ivt,24760,24900,140
fixation.ivt,25000,28020,3020
fixation.ivt,28880,29080,200
fixation.ivt,29580,33060,3480
fixation.ivt,33540,34420,880
fixation.ivt,34520,34740,220
fixation.ivt,34840,36800,1960
fixation.ivt,37440,38880,1440
fixation.ivt,38980,39260,280
fixation.ivt,39360,39940,580
fixation.ivt,40,520,480
fixation.ivt,640,820,180
fixation.ivt,940,1180,240
fixation.ivt,1280,1380,100
fixation.ivt,1480,1600,120
fixation.ivt,1700,1880,180
fixation.ivt,1980,2080,100
fixation.ivt,2160,2280,120
fixation.ivt,2380,2760,380
fixation.ivt,2820,2980,160
fixation.ivt,3220,3500,280
fixation.ivt,3560,3680,120
fixation.ivt,3780,4320,540
fixation.ivt,4460,4560,100
fixation.ivt,4600,4860,260
fixation.ivt,4960,5260,300
fixation.ivt,5340,5440,100
fixation.ivt,5540,5700,160
fixation.ivt,5800,6100,300
fixation.ivt,6180,6280,100
fixation.ivt,6380,6520,140
fixation.ivt,6580,6700,120
fixation.ivt,6800,7460,660
fixation.ivt,7520,7660,140
fixation.ivt,7960,8100,140
fixation.ivt,8180,8320,140
fixation.ivt,8420,8800,380
fixation.ivt,8860,9280,420
fixation.ivt,9380,9780,400
fixation.ivt,9880,10080,200
fixation.ivt,10140,11340,1200
fixation.ivt,11600,11800,200
fixation.ivt,11880,12020,140
fixation.ivt,12080,12840,760
fixation.ivt,13120,13260,140
fixation.ivt,13340,13600,260
fixation.ivt,13680,14360,680
fixation.ivt,14400,15300,900
fixation.ivt,15340,15560,220
fixation.ivt,15640,15760,120
fixation.ivt,17500,17640,140
fixation.ivt,18080,18420,340
fixation.ivt,18780,18940,160
fixation.ivt,19040,19920,880
fixation.ivt,20040,20420,380
fixation.ivt,20560,21040,480
fixation.ivt,21140,22040,900
fixation.ivt,22140,22260,120
fixation.ivt,22840,22960,120
fixation.ivt,23040,23360,320
fixation.ivt,23500,24000,500
fixation.ivt,24100,24680,580
fixation.ivt,24760,24900,140
fixation.ivt,25000,28020,3020
fixation.ivt,28880,29080,200
fixation.ivt,29580,33060,3480
fixation.ivt,33540,34420,880
fixation.ivt,34520,34740,220
fixation.ivt,34840,36800,1960
fixation.ivt,37440,38880,1440
fixation.ivt,38980,39260,280
fixation.ivt,39360,39940,580
saccade,540,620,80
saccade,840,920,80
saccade,1180,1260,80
saccade,1400,1480,80
saccade,1620,1680,60
saccade,1900,1960,60
saccade,2100,2140,40
saccade,2300,2360,60
saccade,2780,2800,20
saccade,3000,3020,20
saccade,3140,3200,60
saccade,3520,3560,40
saccade,3700,3760,60
saccade,4340,4440,100
saccade,4560,4580,20
saccade,4880,4940,60
saccade,5260,5320,60
saccade,5460,5520,60
saccade,5720,5780,60
saccade,6120,6160,40
saccade,6300,6360,60
saccade,6520,6560,40
saccade,6700,6780,80
saccade,7020,7040,20
saccade,7460,7500,40
saccade,7680,7760,80
saccade,7880,7940,60
saccade,8120,8160,40
saccade,8340,8400,60
saccade,8820,8840,20
saccade,9300,9360,60
saccade,9800,9860,60
saccade,10100,10120,20
saccade,11360,11420,60
saccade,11540,11580,40
saccade,11820,11860,40
saccade,12020,12060,40
saccade,12860,12960,100
saccade,13060,13140,80
saccade,13280,13320,40
saccade,13400,13420,20
saccade,13620,13660,40
saccade,14380,14400,20
saccade,15300,15340,40
saccade,15560,15640,80
saccade,15780,15840,60
saccade,15920,16240,320
saccade,16320,16480,160
saccade,16560,16760,200
saccade,16800,17060,260
saccade,17100,17480,380
saccade,17640,17940,300
saccade,17980,18060,80
saccade,18420,18760,340
saccade,18960,19020,60
saccade,19940,20020,80
saccade,20440,20500,60
saccade,21040,21120,80
saccade,22040,22120,80
saccade,22280,23020,740
saccade,23380,23480,100
saccade,24020,24080,60
saccade,24120,24180,60
saccade,24680,24740,60
saccade,24920,24980,60
saccade,25780,25800,20
saccade,27180,27200,20
saccade,28020,28420,400
saccade,28500,28860,360
saccade,29060,29560,500
saccade,33080,33420,340
saccade,33480,33520,40
saccade,34420,34500,80
saccade,34760,34820,60
saccade,36820,37120,300
saccade,37160,37420,260
saccade,38900,38960,60
saccade,39280,39340,60
fixation.ivt,40,520,480
fixation.ivt,640,820,180
fixation.ivt,940,1180,240
fixation.ivt,1280,1380,100
fixation.ivt,1480,1600,120
fixation.ivt,1700,1880,180
fixation.ivt,1980,2080,100
fixation.ivt,2160,2280,120
fixation.ivt,2380,2760,380
fixation.ivt,2820,2980,160
fixation.ivt,3220,3500,280
fixation.ivt,3560,3680,120
fixation.ivt,3780,4320,540
fixation.ivt,4460,4560,100
fixation.ivt,4600,4860,260
fixation.ivt,4960,5260,300
fixation.ivt,5340,5440,100
fixation.ivt,5540,5700,160
fixation.ivt,5800,6100,300
fixation.ivt,6180,6280,100
fixation.ivt,6380,6520,140
fixation.ivt,6580,6700,120
fixation.ivt,6800,7460,660
fixation.ivt,7520,7660,140
fixation.ivt,7960,8100,140
fixation.ivt,8180,8320,140
fixation.ivt,8420,8800,380
fixation.ivt,8860,9280,420
fixation.ivt,9380,9780,400
fixation.ivt,9880,10080,200
fixation.ivt,10140,11340,1200
fixation.ivt,11600,11800,200
fixation.ivt,11880,12020,140
fixation.ivt,12080,12840,760
fixation.ivt,13120,13260,140
fixation.ivt,13340,13600,260
fixation.ivt,13680,14360,680
fixation.ivt,14400,15300,900
fixation.ivt,15340,15560,220
fixation.ivt,15640,15760,120
fixation.ivt,17500,17640,140
fixation.ivt,18080,18420,340
fixation.ivt,18780,18940,160
fixation.ivt,19040,19920,880
fixation.ivt,20040,20420,380
fixation.ivt,20560,21040,480
fixation.ivt,21140,22040,900
fixation.ivt,22140,22260,120
fixation.ivt,22840,22960,120
fixation.ivt,23040,23360,320
fixation.ivt,23500,24000,500
fixation.ivt,24100,24680,580
fixation.ivt,24760,24900,140
fixation.ivt,25000,28020,3020
fixation.ivt,28880,29080,200
fixation.ivt,29580,33060,3480
fixation.ivt,33540,34420,880
fixation.ivt,34520,34740,220
fixation.ivt,34840,36800,1960
fixation.ivt,37440,38880,1440
fixation.ivt,38980,39260,280
fixation.ivt,39360,39940,580
