name,onset,offset,duration
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
saccade,700,740,40
saccade,1760,1820,60
saccade,2200,2280,80
saccade,2680,2740,60
saccade,3020,3040,20
saccade,4020,4060,40
saccade,4660,4940,280
saccade,5200,5220,20
saccade,5500,5560,60
saccade,6300,6360,60
saccade,6560,6620,60
saccade,6680,6700,20
saccade,6740,6760,20
saccade,7600,7660,60
saccade,7700,7860,160
saccade,8080,8120,40
saccade,8280,8340,60
saccade,8860,8900,40
saccade,9220,9320,100
saccade,9420,9440,20
saccade,9480,9500,20
saccade,9880,9900,20
saccade,10120,10200,80
saccade,10840,10900,60
saccade,12220,12240,20
saccade,12280,12300,20
saccade,12400,12460,60
saccade,12580,12680,100
saccade,13000,13060,60
saccade,13640,13700,60
saccade,14080,14100,20
saccade,14300,14360,60
saccade,14980,15000,20
saccade,15040,15060,20
saccade,15180,15200,20
saccade,15740,15760,20
saccade,16100,16160,60
saccade,16300,16340,40
saccade,16580,16640,60
saccade,17660,17780,120
saccade,17880,17940,60
saccade,18060,18120,60
saccade,18620,18640,20
saccade,19100,19160,60
saccade,19320,19380,60
saccade,20100,20120,20
saccade,20160,20180,20
saccade,20320,20360,40
saccade,20580,20600,20
saccade,20640,20740,100
saccade,21660,21720,60
saccade,22160,22220,60
saccade,23260,23320,60
saccade,24080,24160,80
saccade,24440,24520,80
saccade,25160,25220,60
saccade,25520,25600,80
saccade,25720,25780,60
saccade,25820,25840,20
saccade,26960,27020,60
saccade,27980,28040,60
saccade,28920,28980,60
saccade,29440,29480,40
saccade,30380,30400,20
saccade,30520,30600,80
saccade,30720,30760,40
saccade,31460,31520,60
saccade,31880,31920,40
saccade,32160,32200,40
saccade,32400,32420,20
saccade,32460,32560,100
saccade,32980,33000,20
saccade,33340,33400,60
saccade,33760,33820,60
saccade,34300,34360,60
saccade,34700,34760,60
saccade,35340,35380,40
saccade,35580,35640,60
saccade,35900,35940,40
saccade,36160,36180,20
saccade,36220,36240,20
saccade,37220,37300,80
saccade,37380,37400,20
saccade,37440,37460,20
saccade,37500,37580,80
saccade,37960,38000,40
saccade,38380,38440,60
fixation.ivt,40,440,400
fixation.ivt,500,620,120
fixation.ivt,900,1740,840
fixation.ivt,1840,2180,340
fixation.ivt,2300,2660,360
fixation.ivt,2760,2980,220
fixation.ivt,3080,4000,920
fixation.ivt,4080,4260,180
fixation.ivt,4320,4460,140
fixation.ivt,4980,5160,180
fixation.ivt,5240,5480,240
fixation.ivt,5580,5740,160
fixation.ivt,5960,6280,320
fixation.ivt,6380,6540,160
fixation.ivt,6780,7580,800
fixation.ivt,7880,8060,180
fixation.ivt,8360,8560,200
fixation.ivt,8620,8840,220
fixation.ivt,8940,9200,260
fixation.ivt,9540,9860,320
fixation.ivt,9940,10100,160
fixation.ivt,10220,10820,600
fixation.ivt,10920,11280,360
fixation.ivt,11320,12200,880
fixation.ivt,12720,12980,260
fixation.ivt,13080,13260,180
fixation.ivt,13320,13620,300
fixation.ivt,13740,14060,320
fixation.ivt,14380,14960,580
fixation.ivt,15240,15540,300
fixation.ivt,15600,15700,100
fixation.ivt,15800,16040,240
fixation.ivt,16180,16280,100
fixation.ivt,16380,16560,180
fixation.ivt,16660,16900,240
fixation.ivt,16960,17180,220
fixation.ivt,17240,17480,240
fixation.ivt,17520,17640,120
fixation.ivt,18160,18440,280
fixation.ivt,18680,19060,380
fixation.ivt,19180,19300,120
fixation.ivt,19420,20080,660
fixation.ivt,20200,20300,100
fixation.ivt,20380,20500,120
fixation.ivt,21040,21420,380
fixation.ivt,21480,21640,160
fixation.ivt,21740,22100,360
fixation.ivt,22240,22400,160
fixation.ivt,22460,22760,300
fixation.ivt,22800,23240,440
fixation.ivt,23600,24060,460
fixation.ivt,24180,24420,240
fixation.ivt,24540,25140,600
fixation.ivt,25240,25500,260
fixation.ivt,25940,26400,460
fixation.ivt,26480,26940,460
fixation.ivt,27040,27720,680
fixation.ivt,27760,27940,180
fixation.ivt,28060,28280,220
fixation.ivt,28360,28900,540
fixation.ivt,29020,29400,380
fixation.ivt,29500,29680,180
fixation.ivt,29740,29960,220
fixation.ivt,30020,30340,320
fixation.ivt,30800,31040,240
fixation.ivt,31100,31440,340
fixation.ivt,31540,31860,320
fixation.ivt,31960,32120,160
fixation.ivt,32220,32380,160
fixation.ivt,32580,32940,360
fixation.ivt,33020,33320,300
fixation.ivt,33420,33660,240
fixation.ivt,33840,34280,440
fixation.ivt,34380,34560,180
fixation.ivt,34780,35300,520
fixation.ivt,35400,35560,160
fixation.ivt,35660,35880,220
fixation.ivt,35980,36140,160
fixation.ivt,36260,36560,300
fixation.ivt,36600,37200,600
fixation.ivt,37600,37920,320
fixation.ivt,38020,38360,340
fixation.ivt,38460,39060,600
fixation.ivt,39120,39680,560
fixation.ivt,39760,39920,160
