name,onset,offset,duration
fixation.ivt,3800,4020,220
fixation.ivt,4100,4280,180
fixation.ivt,4580,4800,220
fixation.ivt,4920,5020,100
fixation.ivt,5100,5320,220
fixation.ivt,5620,6520,900
fixation.ivt,6620,6880,260
fixation.ivt,7140,7300,160
fixation.ivt,7340,7480,140
fixation.ivt,7840,7980,140
fixation.ivt,8160,8420,260
fixation.ivt,8480,8640,160
fixation.ivt,8740,8880,140
fixation.ivt,9000,9160,160
fixation.ivt,9220,9360,140
fixation.ivt,9460,9580,120
fixation.ivt,10040,10480,440
fixation.ivt,10580,10720,140
fixation.ivt,10820,10940,120
fixation.ivt,11060,11340,280
fixation.ivt,11620,12060,440
fixation.ivt,12160,12320,160
fixation.ivt,12580,12680,100
fixation.ivt,12800,12900,100
fixation.ivt,12960,13300,340
fixation.ivt,13780,13960,180
fixation.ivt,14220,14440,220
fixation.ivt,14680,14860,180
fixation.ivt,14960,15100,140
fixation.ivt,15380,15480,100
fixation.ivt,15560,15680,120
fixation.ivt,15780,15900,120
fixation.ivt,16800,16900,100
fixation.ivt,16960,17060,100
fixation.ivt,17160,17320,160
fixation.ivt,17600,17800,200
fixation.ivt,18340,18460,120
fixation.ivt,18980,19080,100
fixation.ivt,19180,19440,260
fixation.ivt,19540,19640,100
fixation.ivt,20740,21540,800
fixation.ivt,22020,22420,400
fixation.ivt,22500,22600,100
fixation.ivt,22700,23340,640
fixation.ivt,23400,23780,380
fixation.ivt,23880,24180,300
fixation.ivt,24300,24440,140
fixation.ivt,24540,24820,280
fixation.ivt,24920,25140,220
fixation.ivt,25500,25880,380
fixation.ivt,26220,26520,300
fixation.ivt,26620,26920,300
fixation.ivt,26960,27180,220
fixation.ivt,27280,27520,240
fixation.ivt,27720,27940,220
fixation.ivt,28740,29020,280
fixation.ivt,29360,29660,300
fixation.ivt,29720,29940,220
fixation.ivt,40,1020,980
fixation.ivt,1400,1680,280
fixation.ivt,1740,1860,120
fixation.ivt,2300,2500,200
fixation.ivt,2640,2960,320
fixation.ivt,3020,3120,100
fixation.ivt,3200,3420,220
fixation.ivt,3520,3700,180
fixation.ivt,3800,4020,220
fixation.ivt,4100,4280,180
fixation.ivt,4580,4800,220
fixation.ivt,4920,5020,100
fixation.ivt,5100,5320,220
fixation.ivt,5620,6520,900
fixation.ivt,6620,6880,260
fixation.ivt,7140,7300,160
fixation.ivt,7340,7480,140
fixation.ivt,7840,7980,140
fixation.ivt,8160,8420,260
fixation.ivt,8480,8640,160
fixation.ivt,8740,8880,140
fixation.ivt,9000,9160,160
fixation.ivt,9220,9360,140
fixation.ivt,9460,9580,120
fixation.ivt,10040,10480,440
fixation.ivt,10580,10720,140
fixation.ivt,10820,10940,120
fixation.ivt,11060,11340,280
fixation.ivt,11620,12060,440
fixation.ivt,12160,12320,160
fixation.ivt,12580,12680,100
fixation.ivt,12800,12900,100
fixation.ivt,12960,13300,340
fixation.ivt,13780,13960,180
fixation.ivt,14220,14440,220
fixation.ivt,14680,14860,180
fixation.ivt,14960,15100,140
fixation.ivt,15380,15480,100
fixation.ivt,15560,15680,120
fixation.ivt,15780,15900,120
fixation.ivt,16800,16900,100
fixation.ivt,16960,17060,100
fixation.ivt,17160,17320,160
fixation.ivt,17600,17800,200
fixation.ivt,18340,18460,120
fixation.ivt,18980,19080,100
fixation.ivt,19180,19440,260
fixation.ivt,19540,19640,100
fixation.ivt,20740,21540,800
fixation.ivt,22020,22420,400
fixation.ivt,22500,22600,100
fixation.ivt,22700,23340,640
fixation.ivt,23400,23780,380
fixation.ivt,23880,24180,300
fixation.ivt,24300,24440,140
fixation.ivt,24540,24820,280
fixation.ivt,24920,25140,220
fixation.ivt,25500,25880,380
fixation.ivt,26220,26520,300
fixation.ivt,26620,26920,300
fixation.ivt,26960,27180,220
fixation.ivt,27280,27520,240
fixation.ivt,27720,27940,220
fixation.ivt,28740,29020,280
fixation.ivt,29360,29660,300
fixation.ivt,29720,29940,220
fixation.ivt,40,1020,980
fixation.ivt,1400,1680,280
fixation.ivt,1740,1860,120
fixation.ivt,2300,2500,200
fixation.ivt,2640,2960,320
fixation.ivt,3020,3120,100
fixation.ivt,3200,3420,220
fixation.ivt,3520,3700,180
fixation.ivt,3800,4020,220
fixation.ivt,4100,4280,180
fixation.ivt,4580,4800,220
fixation.ivt,4920,5020,100
fixation.ivt,5100,5320,220
fixation.ivt,5620,6520,900
fixation.ivt,6620,6880,260
fixation.ivt,7140,7300,160
fixation.ivt,7340,7480,140
fixation.ivt,7840,7980,140
fixation.ivt,8160,8420,260
fixation.ivt,8480,8640,160
fixation.ivt,8740,8880,140
fixation.ivt,9000,9160,160
fixation.ivt,9220,9360,140
fixation.ivt,9460,9580,120
fixation.ivt,10040,10480,440
fixation.ivt,10580,10720,140
fixation.ivt,10820,10940,120
fixation.ivt,11060,11340,280
fixation.ivt,11620,12060,440
fixation.ivt,12160,12320,160
fixation.ivt,12580,12680,100
fixation.ivt,12800,12900,100
fixation.ivt,12960,13300,340
fixation.ivt,13780,13960,180
fixation.ivt,14220,14440,220
fixation.ivt,14680,14860,180
fixation.ivt,14960,15100,140
fixation.ivt,15380,15480,100
fixation.ivt,15560,15680,120
fixation.ivt,15780,15900,120
fixation.ivt,16800,16900,100
fixation.ivt,16960,17060,100
fixation.ivt,17160,17320,160
fixation.ivt,17600,17800,200
fixation.ivt,18340,18460,120
fixation.ivt,18980,19080,100
fixation.ivt,19180,19440,260
fixation.ivt,19540,19640,100
fixation.ivt,20740,21540,800
fixation.ivt,22020,22420,400
fixation.ivt,22500,22600,100
fixation.ivt,22700,23340,640
fixation.ivt,23400,23780,380
fixation.ivt,23880,24180,300
fixation.ivt,24300,24440,140
fixation.ivt,24540,24820,280
fixation.ivt,24920,25140,220
fixation.ivt,25500,25880,380
fixation.ivt,26220,26520,300
fixation.ivt,26620,26920,300
fixation.ivt,26960,27180,220
fixation.ivt,27280,27520,240
fixation.ivt,27720,27940,220
fixation.ivt,28740,29020,280
fixation.ivt,29360,29660,300
fixation.ivt,29720,29940,220
fixation.ivt,40,1020,980
fixation.ivt,1400,1680,280
fixation.ivt,1740,1860,120
fixation.ivt,2300,2500,200
fixation.ivt,2640,2960,320
fixation.ivt,3020,3120,100
fixation.ivt,3200,3420,220
fixation.ivt,3520,3700,180
fixation.ivt,3800,4020,220
fixation.ivt,4100,4280,180
fixation.ivt,4580,4800,220
fixation.ivt,4920,5020,100
fixation.ivt,5100,5320,220
fixation.ivt,5620,6520,900
fixation.ivt,6620,6880,260
fixation.ivt,7140,7300,160
fixation.ivt,7340,7480,140
fixation.ivt,7840,7980,140
fixation.ivt,8160,8420,260
fixation.ivt,8480,8640,160
fixation.ivt,8740,8880,140
fixation.ivt,9000,9160,160
fixation.ivt,9220,9360,140
fixation.ivt,9460,9580,120
fixation.ivt,10040,10480,440
fixation.ivt,10580,10720,140
fixation.ivt,10820,10940,120
fixation.ivt,11060,11340,280
fixation.ivt,11620,12060,440
fixation.ivt,12160,12320,160
fixation.ivt,12580,12680,100
fixation.ivt,12800,12900,100
fixation.ivt,12960,13300,340
fixation.ivt,13780,13960,180
fixation.ivt,14220,14440,220
fixation.ivt,14680,14860,180
fixation.ivt,14960,15100,140
fixation.ivt,15380,15480,100
fixation.ivt,15560,15680,120
fixation.ivt,15780,15900,120
fixation.ivt,16800,16900,100
fixation.ivt,16960,17060,100
fixation.ivt,17160,17320,160
fixation.ivt,17600,17800,200
fixation.ivt,18340,18460,120
fixation.ivt,18980,19080,100
fixation.ivt,19180,19440,260
fixation.ivt,19540,19640,100
fixation.ivt,20740,21540,800
fixation.ivt,22020,22420,400
fixation.ivt,22500,22600,100
fixation.ivt,22700,23340,640
fixation.ivt,23400,23780,380
fixation.ivt,23880,24180,300
fixation.ivt,24300,24440,140
fixation.ivt,24540,24820,280
fixation.ivt,24920,25140,220
fixation.ivt,25500,25880,380
fixation.ivt,26220,26520,300
fixation.ivt,26620,26920,300
fixation.ivt,26960,27180,220
fixation.ivt,27280,27520,240
fixation.ivt,27720,27940,220
fixation.ivt,28740,29020,280
fixation.ivt,29360,29660,300
fixation.ivt,29720,29940,220
fixation.ivt,40,1020,980
fixation.ivt,1400,1680,280
fixation.ivt,1740,1860,120
fixation.ivt,2300,2500,200
fixation.ivt,2640,2960,320
fixation.ivt,3020,3120,100
fixation.ivt,3200,3420,220
fixation.ivt,3520,3700,180
fixation.ivt,3800,4020,220
fixation.ivt,4100,4280,180
fixation.ivt,4580,4800,220
fixation.ivt,4920,5020,100
fixation.ivt,5100,5320,220
fixation.ivt,5620,6520,900
fixation.ivt,6620,6880,260
fixation.ivt,7140,7300,160
fixation.ivt,7340,7480,140
fixation.ivt,7840,7980,140
fixation.ivt,8160,8420,260
fixation.ivt,8480,8640,160
fixation.ivt,8740,8880,140
fixation.ivt,9000,9160,160
fixation.ivt,9220,9360,140
fixation.ivt,9460,9580,120
fixation.ivt,10040,10480,440
fixation.ivt,10580,10720,140
fixation.ivt,10820,10940,120
fixation.ivt,11060,11340,280
fixation.ivt,11620,12060,440
fixation.ivt,12160,12320,160
fixation.ivt,12580,12680,100
fixation.ivt,12800,12900,100
fixation.ivt,12960,13300,340
fixation.ivt,13780,13960,180
fixation.ivt,14220,14440,220
fixation.ivt,14680,14860,180
fixation.ivt,14960,15100,140
fixation.ivt,15380,15480,100
fixation.ivt,15560,15680,120
fixation.ivt,15780,15900,120
fixation.ivt,16800,16900,100
fixation.ivt,16960,17060,100
fixation.ivt,17160,17320,160
fixation.ivt,17600,17800,200
fixation.ivt,18340,18460,120
fixation.ivt,18980,19080,100
fixation.ivt,19180,19440,260
fixation.ivt,19540,19640,100
fixation.ivt,20740,21540,800
fixation.ivt,22020,22420,400
fixation.ivt,22500,22600,100
fixation.ivt,22700,23340,640
fixation.ivt,23400,23780,380
fixation.ivt,23880,24180,300
fixation.ivt,24300,24440,140
fixation.ivt,24540,24820,280
fixation.ivt,24920,25140,220
fixation.ivt,25500,25880,380
fixation.ivt,26220,26520,300
fixation.ivt,26620,26920,300
fixation.ivt,26960,27180,220
fixation.ivt,27280,27520,240
fixation.ivt,27720,27940,220
fixation.ivt,28740,29020,280
fixation.ivt,29360,29660,300
fixation.ivt,29720,29940,220
fixation.ivt,40,1020,980
fixation.ivt,1400,1680,280
fixation.ivt,1740,1860,120
fixation.ivt,2300,2500,200
fixation.ivt,2640,2960,320
fixation.ivt,3020,3120,100
fixation.ivt,3200,3420,220
fixation.ivt,3520,3700,180
fixation.ivt,3800,4020,220
fixation.ivt,4100,4280,180
fixation.ivt,4580,4800,220
fixation.ivt,4920,5020,100
fixation.ivt,5100,5320,220
fixation.ivt,5620,6520,900
fixation.ivt,6620,6880,260
fixation.ivt,7140,7300,160
fixation.ivt,7340,7480,140
fixation.ivt,7840,7980,140
fixation.ivt,8160,8420,260
fixation.ivt,8480,8640,160
fixation.ivt,8740,8880,140
fixation.ivt,9000,9160,160
fixation.ivt,9220,9360,140
fixation.ivt,9460,9580,120
fixation.ivt,10040,10480,440
fixation.ivt,10580,10720,140
fixation.ivt,10820,10940,120
fixation.ivt,11060,11340,280
fixation.ivt,11620,12060,440
fixation.ivt,12160,12320,160
fixation.ivt,12580,12680,100
fixation.ivt,12800,12900,100
fixation.ivt,12960,13300,340
fixation.ivt,13780,13960,180
fixation.ivt,14220,14440,220
fixation.ivt,14680,14860,180
fixation.ivt,14960,15100,140
fixation.ivt,15380,15480,100
fixation.ivt,15560,15680,120
fixation.ivt,15780,15900,120
fixation.ivt,16800,16900,100
fixation.ivt,16960,17060,100
fixation.ivt,17160,17320,160
fixation.ivt,17600,17800,200
fixation.ivt,18340,18460,120
fixation.ivt,18980,19080,100
fixation.ivt,19180,19440,260
fixation.ivt,19540,19640,100
fixation.ivt,20740,21540,800
fixation.ivt,22020,22420,400
fixation.ivt,22500,22600,100
fixation.ivt,22700,23340,640
fixation.ivt,23400,23780,380
fixation.ivt,23880,24180,300
fixation.ivt,24300,24440,140
fixation.ivt,24540,24820,280
fixation.ivt,24920,25140,220
fixation.ivt,25500,25880,380
fixation.ivt,26220,26520,300
fixation.ivt,26620,26920,300
fixation.ivt,26960,27180,220
fixation.ivt,27280,27520,240
fixation.ivt,27720,27940,220
fixation.ivt,28740,29020,280
fixation.ivt,29360,29660,300
fixation.ivt,29720,29940,220
saccade,1040,1120,80
saccade,1160,1180,20
saccade,1220,1240,20
saccade,1320,1380,60
saccade,1700,1720,20
saccade,1880,1940,60
saccade,2020,2100,80
saccade,2220,2280,60
saccade,2520,2600,80
saccade,2980,3000,20
saccade,3140,3180,40
saccade,3440,3500,60
saccade,3720,3780,60
saccade,4040,4080,40
saccade,4300,4440,140
saccade,4540,4560,20
saccade,4820,4900,80
saccade,5040,5080,40
saccade,5340,5600,260
saccade,6540,6600,60
saccade,6900,6960,60
saccade,7060,7120,60
saccade,7500,7520,20
saccade,7560,7660,100
saccade,7780,7820,40
saccade,8000,8140,140
saccade,8440,8460,20
saccade,8660,8720,60
saccade,8900,8980,80
saccade,9180,9200,20
saccade,9380,9440,60
saccade,9600,9660,60
saccade,9780,9880,100
saccade,9940,9960,20
saccade,10000,10020,20
saccade,10500,10560,60
saccade,10740,10800,60
saccade,10960,11040,80
saccade,11360,11420,60
saccade,11540,11600,60
saccade,12080,12140,60
saccade,12340,12400,60
saccade,12500,12560,60
saccade,12700,12780,80
saccade,12920,12940,20
saccade,13320,13400,80
saccade,13500,13580,80
saccade,13680,13760,80
saccade,13980,14040,60
saccade,14140,14200,60
saccade,14460,14520,60
saccade,14600,14660,60
saccade,14880,14940,60
saccade,15120,15180,60
saccade,15280,15360,80
saccade,15500,15540,40
saccade,15700,15760,60
saccade,15920,16380,460
saccade,16480,16580,100
saccade,16700,16780,80
saccade,16920,16940,20
saccade,17080,17140,60
saccade,17340,17400,60
saccade,17520,17580,60
saccade,17820,17960,140
saccade,18080,18120,40
saccade,18240,18320,80
saccade,18480,18540,60
saccade,18580,18600,20
saccade,18640,18660,20
saccade,18720,18800,80
saccade,18900,18960,60
saccade,19100,19160,60
saccade,19460,19520,60
saccade,19660,19760,100
saccade,19860,19920,60
saccade,20020,20080,60
saccade,20160,20240,80
saccade,20360,20380,20
saccade,20500,20560,60
saccade,20640,20720,80
saccade,21560,22000,440
saccade,22440,22460,20
saccade,22620,22680,60
saccade,23360,23380,20
saccade,23800,23860,60
saccade,24200,24220,20
saccade,24260,24280,20
saccade,24460,24520,60
saccade,24840,24900,60
saccade,25160,25360,200
saccade,25400,25480,80
saccade,25900,26020,120
saccade,26100,26200,100
saccade,26540,26600,60
saccade,27220,27260,40
saccade,27620,27640,20
saccade,27680,27700,20
saccade,27960,28300,340
saccade,28340,28560,220
saccade,28660,28720,60
saccade,29040,29140,100
saccade,29260,29340,80
saccade,29680,29700,20
fixation.ivt,40,1020,980
fixation.ivt,1400,1680,280
fixation.ivt,1740,1860,120
fixation.ivt,2300,2500,200
fixation.ivt,2640,2960,320
fixation.ivt,3020,3120,100
fixation.ivt,3200,3420,220
fixation.ivt,3520,3700,180
fixation.ivt,3800,4020,220
fixation.ivt,4100,4280,180
fixation.ivt,4580,4800,220
fixation.ivt,4920,5020,100
fixation.ivt,5100,5320,220
fixation.ivt,5620,6520,900
fixation.ivt,6620,6880,260
fixation.ivt,7140,7300,160
fixation.ivt,7340,7480,140
fixation.ivt,7840,7980,140
fixation.ivt,8160,8420,260
fixation.ivt,8480,8640,160
fixation.ivt,8740,8880,140
fixation.ivt,9000,9160,160
fixation.ivt,9220,9360,140
fixation.ivt,9460,9580,120
fixation.ivt,10040,10480,440
fixation.ivt,10580,10720,140
fixation.ivt,10820,10940,120
fixation.ivt,11060,11340,280
fixation.ivt,11620,12060,440
fixation.ivt,12160,12320,160
fixation.ivt,12580,12680,100
fixation.ivt,12800,12900,100
fixation.ivt,12960,13300,340
fixation.ivt,13780,13960,180
fixation.ivt,14220,14440,220
fixation.ivt,14680,14860,180
fixation.ivt,14960,15100,140
fixation.ivt,15380,15480,100
fixation.ivt,15560,15680,120
fixation.ivt,15780,15900,120
fixation.ivt,16800,16900,100
fixation.ivt,16960,17060,100
fixation.ivt,17160,17320,160
fixation.ivt,17600,17800,200
fixation.ivt,18340,18460,120
fixation.ivt,18980,19080,100
fixation.ivt,19180,19440,260
fixation.ivt,19540,19640,100
fixation.ivt,20740,21540,800
fixation.ivt,22020,22420,400
fixation.ivt,22500,22600,100
fixation.ivt,22700,23340,640
fixation.ivt,23400,23780,380
fixation.ivt,23880,24180,300
fixation.ivt,24300,24440,140
fixation.ivt,24540,24820,280
fixation.ivt,24920,25140,220
fixation.ivt,25500,25880,380
fixation.ivt,26220,26520,300
fixation.ivt,26620,26920,300
fixation.ivt,26960,27180,220
fixation.ivt,27280,27520,240
fixation.ivt,27720,27940,220
fixation.ivt,28740,29020,280
fixation.ivt,29360,29660,300
fixation.ivt,29720,29940,220
