name,onset,offset,duration
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
fixation.ivt,24580,24820,240
fixation.ivt,25040,25580,540
fixation.ivt,25960,26280,320
fixation.ivt,26400,26700,300
fixation.ivt,26800,27080,280
fixation.ivt,27360,27460,100
fixation.ivt,27540,27700,160
fixation.ivt,27760,28000,240
fixation.ivt,28100,28260,160
fixation.ivt,28360,28620,260
fixation.ivt,28940,29380,440
fixation.ivt,29480,29700,220
fixation.ivt,29820,30000,180
fixation.ivt,30260,30580,320
fixation.ivt,30640,30880,240
fixation.ivt,32040,32720,680
fixation.ivt,33280,34420,1140
fixation.ivt,35040,35220,180
fixation.ivt,35360,35560,200
fixation.ivt,35740,35840,100
fixation.ivt,35900,36340,440
fixation.ivt,36880,36980,100
fixation.ivt,37160,39660,2500
saccade,220,340,120
saccade,400,580,180
saccade,740,900,160
saccade,1200,1260,60
saccade,1480,1520,40
saccade,1660,1720,60
saccade,1920,1960,40
saccade,2680,2880,200
saccade,3400,3420,20
saccade,3520,3640,120
saccade,4160,4220,60
saccade,4500,4560,60
saccade,4760,4820,60
saccade,5380,5440,60
saccade,5660,5720,60
saccade,6360,6520,160
saccade,6560,6620,60
saccade,6920,6940,20
saccade,7060,7140,80
saccade,7420,7480,60
saccade,7520,7580,60
saccade,7780,7860,80
saccade,8400,8420,20
saccade,8600,8620,20
saccade,8880,8920,40
saccade,9080,9140,60
saccade,9880,9940,60
saccade,10040,10140,100
saccade,10260,10320,60
saccade,10720,10780,60
saccade,11040,11080,40
saccade,11140,11180,40
saccade,11340,11380,40
saccade,11600,11640,40
saccade,12280,12340,60
saccade,12600,12620,20
saccade,13100,13160,60
saccade,13320,13420,100
saccade,13500,13540,40
saccade,13660,13740,80
saccade,14020,14060,40
saccade,14480,14520,40
saccade,14820,14860,40
saccade,15020,15080,60
saccade,15300,15320,20
saccade,15680,15780,100
saccade,16200,16260,60
saccade,16500,16520,20
saccade,16620,16680,60
saccade,16840,16900,60
saccade,17660,17720,60
saccade,18100,18160,60
saccade,18460,18560,100
saccade,18720,18760,40
saccade,19120,19140,20
saccade,19180,19200,20
saccade,19300,19360,60
saccade,19640,19680,40
saccade,19860,19920,60
saccade,20060,20120,60
saccade,20340,20360,20
saccade,20760,20800,40
saccade,20900,20960,60
saccade,21120,21180,60
saccade,21440,21500,60
saccade,22200,22240,40
saccade,22400,22460,60
saccade,22720,22780,60
saccade,22900,22940,40
saccade,23200,23240,40
saccade,23360,23400,40
saccade,24140,24200,60
saccade,24840,24880,40
saccade,24940,24960,20
saccade,25000,25020,20
saccade,25600,25680,80
saccade,25760,25860,100
saccade,26300,26380,80
saccade,26720,26780,60
saccade,27100,27120,20
saccade,27260,27320,60
saccade,27480,27520,40
saccade,28040,28080,40
saccade,28280,28340,60
saccade,28640,28720,80
saccade,28840,28900,60
saccade,29420,29460,40
saccade,29720,29800,80
saccade,30020,30080,60
saccade,30220,30240,20
saccade,30920,31720,800
saccade,31840,31900,60
saccade,32740,32840,100
saccade,32880,33120,240
saccade,34440,35000,560
saccade,35240,35340,100
saccade,35580,35720,140
saccade,36480,36640,160
saccade,36680,36840,160
saccade,37020,37140,120
saccade,39700,39780,80
saccade,39820,39900,80
fixation.ivt,1000,1180,180
fixation.ivt,1300,1440,140
fixation.ivt,1760,1880,120
fixation.ivt,1980,2640,660
fixation.ivt,2960,3160,200
fixation.ivt,3780,3960,180
fixation.ivt,4020,4140,120
fixation.ivt,4240,4480,240
fixation.ivt,4620,4740,120
fixation.ivt,4860,5020,160
fixation.ivt,5080,5180,100
fixation.ivt,5240,5360,120
fixation.ivt,5460,5640,180
fixation.ivt,5800,5960,160
fixation.ivt,6640,6900,260
fixation.ivt,7160,7400,240
fixation.ivt,7900,8100,200
fixation.ivt,8140,8380,240
fixation.ivt,8440,8560,120
fixation.ivt,8640,8840,200
fixation.ivt,8960,9060,100
fixation.ivt,9160,9320,160
fixation.ivt,9380,9860,480
fixation.ivt,10380,10700,320
fixation.ivt,10800,10960,160
fixation.ivt,11220,11320,100
fixation.ivt,11400,11580,180
fixation.ivt,11680,11820,140
fixation.ivt,11880,12040,160
fixation.ivt,12100,12240,140
fixation.ivt,12660,12860,200
fixation.ivt,12920,13080,160
fixation.ivt,13840,14000,160
fixation.ivt,14100,14460,360
fixation.ivt,14540,14700,160
fixation.ivt,14900,15000,100
fixation.ivt,15100,15280,180
fixation.ivt,15360,15600,240
fixation.ivt,15840,15940,100
fixation.ivt,15980,16160,180
fixation.ivt,16280,16480,200
fixation.ivt,16700,16800,100
fixation.ivt,16920,17180,260
fixation.ivt,17220,17640,420
fixation.ivt,17740,18080,340
fixation.ivt,18180,18440,260
fixation.ivt,18820,19100,280
fixation.ivt,19380,19600,220
fixation.ivt,19720,19840,120
fixation.ivt,19940,20040,100
fixation.ivt,20400,20540,140
fixation.ivt,20580,20740,160
fixation.ivt,20980,21100,120
fixation.ivt,21220,21420,200
fixation.ivt,21520,22120,600
fixation.ivt,22260,22380,120
fixation.ivt,22500,22700,200
fixation.ivt,22960,23180,220
fixation.ivt,23580,23940,360
fixation.ivt,23980,24120,140
fixation.ivt,24220,24520,300
