name,onset,offset,duration
fixation.ivt,2540,2640,100
fixation.ivt,3200,3360,160
fixation.ivt,3620,3860,240
fixation.ivt,3940,4260,320
fixation.ivt,4380,4580,200
fixation.ivt,5020,5360,340
fixation.ivt,5440,5540,100
fixation.ivt,5620,6060,440
fixation.ivt,6180,6300,120
fixation.ivt,6520,6680,160
fixation.ivt,7120,7240,120
fixation.ivt,7340,7460,120
fixation.ivt,7520,7660,140
fixation.ivt,7700,7980,280
fixation.ivt,8140,8420,280
fixation.ivt,8520,8880,360
fixation.ivt,8980,9120,140
fixation.ivt,9260,9460,200
fixation.ivt,9560,9860,300
fixation.ivt,9980,10080,100
fixation.ivt,10180,10300,120
fixation.ivt,10640,11400,760
fixation.ivt,11500,11640,140
fixation.ivt,11900,12240,340
fixation.ivt,12360,12460,100
fixation.ivt,12520,12620,100
fixation.ivt,13060,13160,100
fixation.ivt,13260,13480,220
fixation.ivt,13580,13680,100
fixation.ivt,13780,13880,100
fixation.ivt,13960,14060,100
fixation.ivt,14160,14300,140
fixation.ivt,14400,14880,480
fixation.ivt,14940,15200,260
fixation.ivt,15300,15400,100
fixation.ivt,15960,16100,140
fixation.ivt,16180,16280,100
fixation.ivt,16740,16940,200
fixation.ivt,17040,17280,240
fixation.ivt,18440,18560,120
fixation.ivt,18660,18860,200
fixation.ivt,18920,19200,280
fixation.ivt,19620,19760,140
fixation.ivt,19860,20120,260
fixation.ivt,20180,20340,160
fixation.ivt,20460,20660,200
fixation.ivt,21020,21700,680
fixation.ivt,22500,22600,100
fixation.ivt,22680,22800,120
fixation.ivt,22920,23180,260
fixation.ivt,23260,23460,200
fixation.ivt,23540,24060,520
fixation.ivt,24380,24620,240
fixation.ivt,25520,25740,220
fixation.ivt,25840,26080,240
fixation.ivt,26380,26640,260
fixation.ivt,26800,26960,160
fixation.ivt,27480,27700,220
fixation.ivt,27800,28540,740
fixation.ivt,29180,29400,220
fixation.ivt,29620,29780,160
fixation.ivt,40,660,620
fixation.ivt,760,860,100
fixation.ivt,960,1240,280
fixation.ivt,1320,1440,120
fixation.ivt,1540,1860,320
fixation.ivt,1960,2420,460
fixation.ivt,2540,2640,100
fixation.ivt,3200,3360,160
fixation.ivt,3620,3860,240
fixation.ivt,3940,4260,320
fixation.ivt,4380,4580,200
fixation.ivt,5020,5360,340
fixation.ivt,5440,5540,100
fixation.ivt,5620,6060,440
fixation.ivt,6180,6300,120
fixation.ivt,6520,6680,160
fixation.ivt,7120,7240,120
fixation.ivt,7340,7460,120
fixation.ivt,7520,7660,140
fixation.ivt,7700,7980,280
fixation.ivt,8140,8420,280
fixation.ivt,8520,8880,360
fixation.ivt,8980,9120,140
fixation.ivt,9260,9460,200
fixation.ivt,9560,9860,300
fixation.ivt,9980,10080,100
fixation.ivt,10180,10300,120
fixation.ivt,10640,11400,760
fixation.ivt,11500,11640,140
fixation.ivt,11900,12240,340
fixation.ivt,12360,12460,100
fixation.ivt,12520,12620,100
fixation.ivt,13060,13160,100
fixation.ivt,13260,13480,220
fixation.ivt,13580,13680,100
fixation.ivt,13780,13880,100
fixation.ivt,13960,14060,100
fixation.ivt,14160,14300,140
fixation.ivt,14400,14880,480
fixation.ivt,14940,15200,260
fixation.ivt,15300,15400,100
fixation.ivt,15960,16100,140
fixation.ivt,16180,16280,100
fixation.ivt,16740,16940,200
fixation.ivt,17040,17280,240
fixation.ivt,18440,18560,120
fixation.ivt,18660,18860,200
fixation.ivt,18920,19200,280
fixation.ivt,19620,19760,140
fixation.ivt,19860,20120,260
fixation.ivt,20180,20340,160
fixation.ivt,20460,20660,200
fixation.ivt,21020,21700,680
fixation.ivt,22500,22600,100
fixation.ivt,22680,22800,120
fixation.ivt,22920,23180,260
fixation.ivt,23260,23460,200
fixation.ivt,23540,24060,520
fixation.ivt,24380,24620,240
fixation.ivt,25520,25740,220
fixation.ivt,25840,26080,240
fixation.ivt,26380,26640,260
fixation.ivt,26800,26960,160
fixation.ivt,27480,27700,220
fixation.ivt,27800,28540,740
fixation.ivt,29180,29400,220
fixation.ivt,29620,29780,160
fixation.ivt,40,660,620
fixation.ivt,760,860,100
fixation.ivt,960,1240,280
fixation.ivt,1320,1440,120
fixation.ivt,1540,1860,320
fixation.ivt,1960,2420,460
fixation.ivt,2540,2640,100
fixation.ivt,3200,3360,160
fixation.ivt,3620,3860,240
fixation.ivt,3940,4260,320
fixation.ivt,4380,4580,200
fixation.ivt,5020,5360,340
fixation.ivt,5440,5540,100
fixation.ivt,5620,6060,440
fixation.ivt,6180,6300,120
fixation.ivt,6520,6680,160
fixation.ivt,7120,7240,120
fixation.ivt,7340,7460,120
fixation.ivt,7520,7660,140
fixation.ivt,7700,7980,280
fixation.ivt,8140,8420,280
fixation.ivt,8520,8880,360
fixation.ivt,8980,9120,140
fixation.ivt,9260,9460,200
fixation.ivt,9560,9860,300
fixation.ivt,9980,10080,100
fixation.ivt,10180,10300,120
fixation.ivt,10640,11400,760
fixation.ivt,11500,11640,140
fixation.ivt,11900,12240,340
fixation.ivt,12360,12460,100
fixation.ivt,12520,12620,100
fixation.ivt,13060,13160,100
fixation.ivt,13260,13480,220
fixation.ivt,13580,13680,100
fixation.ivt,13780,13880,100
fixation.ivt,13960,14060,100
fixation.ivt,14160,14300,140
fixation.ivt,14400,14880,480
fixation.ivt,14940,15200,260
fixation.ivt,15300,15400,100
fixation.ivt,15960,16100,140
fixation.ivt,16180,16280,100
fixation.ivt,16740,16940,200
fixation.ivt,17040,17280,240
fixation.ivt,18440,18560,120
fixation.ivt,18660,18860,200
fixation.ivt,18920,19200,280
fixation.ivt,19620,19760,140
fixation.ivt,19860,20120,260
fixation.ivt,20180,20340,160
fixation.ivt,20460,20660,200
fixation.ivt,21020,21700,680
fixation.ivt,22500,22600,100
fixation.ivt,22680,22800,120
fixation.ivt,22920,23180,260
fixation.ivt,23260,23460,200
fixation.ivt,23540,24060,520
fixation.ivt,24380,24620,240
fixation.ivt,25520,25740,220
fixation.ivt,25840,26080,240
fixation.ivt,26380,26640,260
fixation.ivt,26800,26960,160
fixation.ivt,27480,27700,220
fixation.ivt,27800,28540,740
fixation.ivt,29180,29400,220
fixation.ivt,29620,29780,160
fixation.ivt,40,660,620
fixation.ivt,760,860,100
fixation.ivt,960,1240,280
fixation.ivt,1320,1440,120
fixation.ivt,1540,1860,320
fixation.ivt,1960,2420,460
fixation.ivt,2540,2640,100
fixation.ivt,3200,3360,160
fixation.ivt,3620,3860,240
fixation.ivt,3940,4260,320
fixation.ivt,4380,4580,200
fixation.ivt,5020,5360,340
fixation.ivt,5440,5540,100
fixation.ivt,5620,6060,440
fixation.ivt,6180,6300,120
fixation.ivt,6520,6680,160
fixation.ivt,7120,7240,120
fixation.ivt,7340,7460,120
fixation.ivt,7520,7660,140
fixation.ivt,7700,7980,280
fixation.ivt,8140,8420,280
fixation.ivt,8520,8880,360
fixation.ivt,8980,9120,140
fixation.ivt,9260,9460,200
fixation.ivt,9560,9860,300
fixation.ivt,9980,10080,100
fixation.ivt,10180,10300,120
fixation.ivt,10640,11400,760
fixation.ivt,11500,11640,140
fixation.ivt,11900,12240,340
fixation.ivt,12360,12460,100
fixation.ivt,12520,12620,100
fixation.ivt,13060,13160,100
fixation.ivt,13260,13480,220
fixation.ivt,13580,13680,100
fixation.ivt,13780,13880,100
fixation.ivt,13960,14060,100
fixation.ivt,14160,14300,140
fixation.ivt,14400,14880,480
fixation.ivt,14940,15200,260
fixation.ivt,15300,15400,100
fixation.ivt,15960,16100,140
fixation.ivt,16180,16280,100
fixation.ivt,16740,16940,200
fixation.ivt,17040,17280,240
fixation.ivt,18440,18560,120
fixation.ivt,18660,18860,200
fixation.ivt,18920,19200,280
fixation.ivt,19620,19760,140
fixation.ivt,19860,20120,260
fixation.ivt,20180,20340,160
fixation.ivt,20460,20660,200
fixation.ivt,21020,21700,680
fixation.ivt,22500,22600,100
fixation.ivt,22680,22800,120
fixation.ivt,22920,23180,260
fixation.ivt,23260,23460,200
fixation.ivt,23540,24060,520
fixation.ivt,24380,24620,240
fixation.ivt,25520,25740,220
fixation.ivt,25840,26080,240
fixation.ivt,26380,26640,260
fixation.ivt,26800,26960,160
fixation.ivt,27480,27700,220
fixation.ivt,27800,28540,740
fixation.ivt,29180,29400,220
fixation.ivt,29620,29780,160
fixation.ivt,40,660,620
fixation.ivt,760,860,100
fixation.ivt,960,1240,280
fixation.ivt,1320,1440,120
fixation.ivt,1540,1860,320
fixation.ivt,1960,2420,460
fixation.ivt,2540,2640,100
fixation.ivt,3200,3360,160
fixation.ivt,3620,3860,240
fixation.ivt,3940,4260,320
fixation.ivt,4380,4580,200
fixation.ivt,5020,5360,340
fixation.ivt,5440,5540,100
fixation.ivt,5620,6060,440
fixation.ivt,6180,6300,120
fixation.ivt,6520,6680,160
fixation.ivt,7120,7240,120
fixation.ivt,7340,7460,120
fixation.ivt,7520,7660,140
fixation.ivt,7700,7980,280
fixation.ivt,8140,8420,280
fixation.ivt,8520,8880,360
fixation.ivt,8980,9120,140
fixation.ivt,9260,9460,200
fixation.ivt,9560,9860,300
fixation.ivt,9980,10080,100
fixation.ivt,10180,10300,120
fixation.ivt,10640,11400,760
fixation.ivt,11500,11640,140
fixation.ivt,11900,12240,340
fixation.ivt,12360,12460,100
fixation.ivt,12520,12620,100
fixation.ivt,13060,13160,100
fixation.ivt,13260,13480,220
fixation.ivt,13580,13680,100
fixation.ivt,13780,13880,100
fixation.ivt,13960,14060,100
fixation.ivt,14160,14300,140
fixation.ivt,14400,14880,480
fixation.ivt,14940,15200,260
fixation.ivt,15300,15400,100
fixation.ivt,15960,16100,140
fixation.ivt,16180,16280,100
fixation.ivt,16740,16940,200
fixation.ivt,17040,17280,240
fixation.ivt,18440,18560,120
fixation.ivt,18660,18860,200
fixation.ivt,18920,19200,280
fixation.ivt,19620,19760,140
fixation.ivt,19860,20120,260
fixation.ivt,20180,20340,160
fixation.ivt,20460,20660,200
fixation.ivt,21020,21700,680
fixation.ivt,22500,22600,100
fixation.ivt,22680,22800,120
fixation.ivt,22920,23180,260
fixation.ivt,23260,23460,200
fixation.ivt,23540,24060,520
fixation.ivt,24380,24620,240
fixation.ivt,25520,25740,220
fixation.ivt,25840,26080,240
fixation.ivt,26380,26640,260
fixation.ivt,26800,26960,160
fixation.ivt,27480,27700,220
fixation.ivt,27800,28540,740
fixation.ivt,29180,29400,220
fixation.ivt,29620,29780,160
