name,onset,offset,duration
fixation.ivt,6560,6840,280
fixation.ivt,6940,7300,360
fixation.ivt,7420,7540,120
fixation.ivt,7660,7760,100
fixation.ivt,7840,7960,120
fixation.ivt,8260,8420,160
fixation.ivt,8720,9000,280
fixation.ivt,9120,9240,120
fixation.ivt,9320,9480,160
fixation.ivt,9600,9900,300
fixation.ivt,10220,10400,180
fixation.ivt,10460,10980,520
fixation.ivt,11080,11240,160
fixation.ivt,11520,11640,120
fixation.ivt,11760,12000,240
fixation.ivt,12080,12300,220
fixation.ivt,12360,12460,100
fixation.ivt,12560,12880,320
fixation.ivt,13020,13140,120
fixation.ivt,13240,13340,100
fixation.ivt,13440,13580,140
fixation.ivt,13700,13820,120
fixation.ivt,13900,14100,200
fixation.ivt,14380,14520,140
fixation.ivt,14620,14720,100
fixation.ivt,14960,15100,140
fixation.ivt,15200,15340,140
fixation.ivt,15440,15560,120
fixation.ivt,16100,16460,360
fixation.ivt,16980,17160,180
fixation.ivt,17260,17720,460
fixation.ivt,17780,18000,220
fixation.ivt,18380,18560,180
fixation.ivt,18700,19020,320
fixation.ivt,19680,20820,1140
fixation.ivt,21180,21700,520
fixation.ivt,21800,22040,240
fixation.ivt,22500,22640,140
fixation.ivt,22720,22820,100
fixation.ivt,22940,23340,400
fixation.ivt,23940,24940,1000
fixation.ivt,40,440,400
fixation.ivt,500,720,220
fixation.ivt,780,1180,400
fixation.ivt,1280,1480,200
fixation.ivt,1580,1880,300
fixation.ivt,2000,2140,140
fixation.ivt,2360,2640,280
fixation.ivt,3260,3440,180
fixation.ivt,3500,3680,180
fixation.ivt,3780,3980,200
fixation.ivt,4020,4140,120
fixation.ivt,4180,4560,380
fixation.ivt,4860,5160,300
fixation.ivt,5280,5660,380
fixation.ivt,6040,6280,240
fixation.ivt,6560,6840,280
fixation.ivt,6940,7300,360
fixation.ivt,7420,7540,120
fixation.ivt,7660,7760,100
fixation.ivt,7840,7960,120
fixation.ivt,8260,8420,160
fixation.ivt,8720,9000,280
fixation.ivt,9120,9240,120
fixation.ivt,9320,9480,160
fixation.ivt,9600,9900,300
fixation.ivt,10220,10400,180
fixation.ivt,10460,10980,520
fixation.ivt,11080,11240,160
fixation.ivt,11520,11640,120
fixation.ivt,11760,12000,240
fixation.ivt,12080,12300,220
fixation.ivt,12360,12460,100
fixation.ivt,12560,12880,320
fixation.ivt,13020,13140,120
fixation.ivt,13240,13340,100
fixation.ivt,13440,13580,140
fixation.ivt,13700,13820,120
fixation.ivt,13900,14100,200
fixation.ivt,14380,14520,140
fixation.ivt,14620,14720,100
fixation.ivt,14960,15100,140
fixation.ivt,15200,15340,140
fixation.ivt,15440,15560,120
fixation.ivt,16100,16460,360
fixation.ivt,16980,17160,180
fixation.ivt,17260,17720,460
fixation.ivt,17780,18000,220
fixation.ivt,18380,18560,180
fixation.ivt,18700,19020,320
fixation.ivt,19680,20820,1140
fixation.ivt,21180,21700,520
fixation.ivt,21800,22040,240
fixation.ivt,22500,22640,140
fixation.ivt,22720,22820,100
fixation.ivt,22940,23340,400
fixation.ivt,23940,24940,1000
fixation.ivt,40,440,400
fixation.ivt,500,720,220
fixation.ivt,780,1180,400
fixation.ivt,1280,1480,200
fixation.ivt,1580,1880,300
fixation.ivt,2000,2140,140
fixation.ivt,2360,2640,280
fixation.ivt,3260,3440,180
fixation.ivt,3500,3680,180
fixation.ivt,3780,3980,200
fixation.ivt,4020,4140,120
fixation.ivt,4180,4560,380
fixation.ivt,4860,5160,300
fixation.ivt,5280,5660,380
fixation.ivt,6040,6280,240
fixation.ivt,6560,6840,280
fixation.ivt,6940,7300,360
fixation.ivt,7420,7540,120
fixation.ivt,7660,7760,100
fixation.ivt,7840,7960,120
fixation.ivt,8260,8420,160
fixation.ivt,8720,9000,280
fixation.ivt,9120,9240,120
fixation.ivt,9320,9480,160
fixation.ivt,9600,9900,300
fixation.ivt,10220,10400,180
fixation.ivt,10460,10980,520
fixation.ivt,11080,11240,160
fixation.ivt,11520,11640,120
fixation.ivt,11760,12000,240
fixation.ivt,12080,12300,220
fixation.ivt,12360,12460,100
fixation.ivt,12560,12880,320
fixation.ivt,13020,13140,120
fixation.ivt,13240,13340,100
fixation.ivt,13440,13580,140
fixation.ivt,13700,13820,120
fixation.ivt,13900,14100,200
fixation.ivt,14380,14520,140
fixation.ivt,14620,14720,100
fixation.ivt,14960,15100,140
fixation.ivt,15200,15340,140
fixation.ivt,15440,15560,120
fixation.ivt,16100,16460,360
fixation.ivt,16980,17160,180
fixation.ivt,17260,17720,460
fixation.ivt,17780,18000,220
fixation.ivt,18380,18560,180
fixation.ivt,18700,19020,320
fixation.ivt,19680,20820,1140
fixation.ivt,21180,21700,520
fixation.ivt,21800,22040,240
fixation.ivt,22500,22640,140
fixation.ivt,22720,22820,100
fixation.ivt,22940,23340,400
fixation.ivt,23940,24940,1000
fixation.ivt,40,440,400
fixation.ivt,500,720,220
fixation.ivt,780,1180,400
fixation.ivt,1280,1480,200
fixation.ivt,1580,1880,300
fixation.ivt,2000,2140,140
fixation.ivt,2360,2640,280
fixation.ivt,3260,3440,180
fixation.ivt,3500,3680,180
fixation.ivt,3780,3980,200
fixation.ivt,4020,4140,120
fixation.ivt,4180,4560,380
fixation.ivt,4860,5160,300
fixation.ivt,5280,5660,380
fixation.ivt,6040,6280,240
fixation.ivt,6560,6840,280
fixation.ivt,6940,7300,360
fixation.ivt,7420,7540,120
fixation.ivt,7660,7760,100
fixation.ivt,7840,7960,120
fixation.ivt,8260,8420,160
fixation.ivt,8720,9000,280
fixation.ivt,9120,9240,120
fixation.ivt,9320,9480,160
fixation.ivt,9600,9900,300
fixation.ivt,10220,10400,180
fixation.ivt,10460,10980,520
fixation.ivt,11080,11240,160
fixation.ivt,11520,11640,120
fixation.ivt,11760,12000,240
fixation.ivt,12080,12300,220
fixation.ivt,12360,12460,100
fixation.ivt,12560,12880,320
fixation.ivt,13020,13140,120
fixation.ivt,13240,13340,100
fixation.ivt,13440,13580,140
fixation.ivt,13700,13820,120
fixation.ivt,13900,14100,200
fixation.ivt,14380,14520,140
fixation.ivt,14620,14720,100
fixation.ivt,14960,15100,140
fixation.ivt,15200,15340,140
fixation.ivt,15440,15560,120
fixation.ivt,16100,16460,360
fixation.ivt,16980,17160,180
fixation.ivt,17260,17720,460
fixation.ivt,17780,18000,220
fixation.ivt,18380,18560,180
fixation.ivt,18700,19020,320
fixation.ivt,19680,20820,1140
fixation.ivt,21180,21700,520
fixation.ivt,21800,22040,240
fixation.ivt,22500,22640,140
fixation.ivt,22720,22820,100
fixation.ivt,22940,23340,400
fixation.ivt,23940,24940,1000
saccade,1200,1240,40
saccade,1500,1560,60
saccade,1920,1980,60
saccade,2280,2340,60
saccade,2660,2760,100
saccade,3020,3060,40
saccade,3180,3240,60
saccade,3460,3480,20
saccade,3700,3760,60
saccade,4580,4680,100
saccade,4780,4820,40
saccade,5200,5260,60
saccade,5680,5740,60
saccade,5800,5840,40
saccade,5980,6000,20
saccade,6300,6380,80
saccade,6880,6920,40
saccade,7320,7400,80
saccade,7580,7620,40
saccade,7800,7820,20
saccade,7980,8060,80
saccade,8180,8220,40
saccade,8460,8520,60
saccade,9020,9080,60
saccade,9260,9280,20
saccade,9520,9560,40
saccade,9920,9960,40
saccade,10120,10200,80
saccade,11000,11060,60
saccade,11280,11300,20
saccade,11460,11480,20
saccade,11660,11740,80
saccade,12020,12060,40
saccade,12500,12540,40
saccade,12920,13000,80
saccade,13160,13220,60
saccade,13360,13420,60
saccade,13600,13680,80
saccade,13840,13860,20
saccade,14120,14180,60
saccade,14320,14360,40
saccade,14540,14600,60
saccade,14740,14780,40
saccade,14900,14920,20
saccade,15120,15180,60
saccade,15380,15420,40
saccade,15580,15740,160
saccade,15780,15940,160
saccade,15980,16060,80
saccade,16480,16600,120
saccade,16640,16940,300
saccade,17200,17220,20
saccade,18020,18360,340
saccade,18580,18680,100
saccade,19040,19340,300
saccade,19380,19420,40
saccade,19460,19660,200
saccade,20840,20920,80
saccade,21060,21120,60
saccade,22840,22860,20
saccade,22900,22920,20
saccade,23380,23900,520
fixation.ivt,40,440,400
fixation.ivt,500,720,220
fixation.ivt,780,1180,400
fixation.ivt,1280,1480,200
fixation.ivt,1580,1880,300
fixation.ivt,2000,2140,140
fixation.ivt,2360,2640,280
fixation.ivt,3260,3440,180
fixation.ivt,3500,3680,180
fixation.ivt,3780,3980,200
fixation.ivt,4020,4140,120
fixation.ivt,4180,4560,380
fixation.ivt,4860,5160,300
fixation.ivt,5280,5660,380
fixation.ivt,6040,6280,240
fixation.ivt,6560,6840,280
fixation.ivt,6940,7300,360
fixation.ivt,7420,7540,120
fixation.ivt,7660,7760,100
fixation.ivt,7840,7960,120
fixation.ivt,8260,8420,160
fixation.ivt,8720,9000,280
fixation.ivt,9120,9240,120
fixation.ivt,9320,9480,160
fixation.ivt,9600,9900,300
fixation.ivt,10220,10400,180
fixation.ivt,10460,10980,520
fixation.ivt,11080,11240,160
fixation.ivt,11520,11640,120
fixation.ivt,11760,12000,240
fixation.ivt,12080,12300,220
fixation.ivt,12360,12460,100
fixation.ivt,12560,12880,320
fixation.ivt,13020,13140,120
fixation.ivt,13240,13340,100
fixation.ivt,13440,13580,140
fixation.ivt,13700,13820,120
fixation.ivt,13900,14100,200
fixation.ivt,14380,14520,140
fixation.ivt,14620,14720,100
fixation.ivt,14960,15100,140
fixation.ivt,15200,15340,140
fixation.ivt,15440,15560,120
fixation.ivt,16100,16460,360
fixation.ivt,16980,17160,180
fixation.ivt,17260,17720,460
fixation.ivt,17780,18000,220
fixation.ivt,18380,18560,180
fixation.ivt,18700,19020,320
fixation.ivt,19680,20820,1140
fixation.ivt,21180,21700,520
fixation.ivt,21800,22040,240
fixation.ivt,22500,22640,140
fixation.ivt,22720,22820,100
fixation.ivt,22940,23340,400
fixation.ivt,23940,24940,1000
